groupVeg,disturbance,acres
Conifer,MixedFire,181086
Conifer,ReplacementFire,217706
Conifer,SurfaceFire,1475686
Grassland,MixedFire,194013
Grassland,ReplacementFire,32058512
Grassland,SurfaceFire,333344
Hardwood,MixedFire,2617980
Hardwood,ReplacementFire,5430020
Hardwood,SurfaceFire,15199920
Hardwood-Conifer,MixedFire,147095
Hardwood-Conifer,ReplacementFire,264538
Hardwood-Conifer,SurfaceFire,2758673
Riparian,MixedFire,93904
Riparian,ReplacementFire,597791
Riparian,SurfaceFire,489031
Savanna,MixedFire,8042
Savanna,ReplacementFire,30684
Savanna,SurfaceFire,103
Shrubland,MixedFire,7569
Shrubland,ReplacementFire,5400
Shrubland,SurfaceFire,2116
